id,name,description,currency,amount
717,turpis elementum ligula vehicula,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",CNY,39.26
718,tempor,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,CNY,60.68
719,odio consequat,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",ARS,49.29
720,vestibulum,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",EUR,64.22
721,fusce congue diam id,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",PEN,88.25
722,sit amet erat nulla,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",EUR,77.72
723,condimentum,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",RUB,27.62
724,odio curabitur convallis,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,CNY,66.1
725,sit amet,Ut at dolor quis odio consequat varius.,PHP,28.92
726,nam tristique,Ut at dolor quis odio consequat varius. Integer ac leo.,RUB,84.48
727,proin leo,Integer a nibh.,EUR,20.69
728,vel nulla eget,Phasellus in felis. Donec semper sapien a libero. Nam dui.,CNY,59.8
729,rhoncus aliquam lacus morbi,Nulla tempus.,ALL,25.61
730,ante,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",THB,64.39
731,mauris morbi,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,PEN,13.66
732,ut mauris eget massa,Fusce consequat. Nulla nisl. Nunc nisl.,CNY,68.39
733,nulla suspendisse potenti cras,Morbi vel lectus in quam fringilla rhoncus.,IDR,84.81
734,accumsan,In hac habitasse platea dictumst.,RUB,38.23
735,tincidunt,Mauris ullamcorper purus sit amet nulla.,PHP,14.23
736,aliquet,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,MGA,16.18
737,vel sem,Quisque ut erat. Curabitur gravida nisi at nibh.,IDR,78.62
738,lorem,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,CNY,9.15
739,congue diam id ornare,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",NGN,99.03
740,orci,Integer ac neque.,VND,62.01
741,ultrices,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,SYP,2.97
742,tellus in sagittis,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,PLN,26.7
743,proin leo,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",PEN,92.49
744,vel augue,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,RUB,76.93
745,tortor,Donec ut mauris eget massa tempor convallis.,CNY,68.41
746,amet eleifend pede libero,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",SEK,10.98
747,nisl nunc,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",USD,68.04
748,penatibus et,Morbi non lectus.,CZK,82.08
749,cras non velit nec,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,RUB,33.62
750,suspendisse potenti,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,IDR,15.08
751,in,Vestibulum ac est lacinia nisi venenatis tristique.,EUR,57.7
752,bibendum morbi,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",IDR,10.33
753,dapibus nulla,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,CNY,17.09
754,cum sociis natoque penatibus,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",CZK,38.34
755,nunc,Nulla mollis molestie lorem. Quisque ut erat.,XOF,30.35
756,potenti nullam,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",BRL,77.88
757,quis,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",COP,98.02
758,turpis adipiscing lorem vitae,Donec posuere metus vitae ipsum.,VND,2.53
759,mauris,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",SEK,35.56
760,ultrices phasellus,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",PEN,7.16
761,sapien cum,Fusce consequat. Nulla nisl.,EUR,42.03
762,eleifend,Curabitur in libero ut massa volutpat convallis.,IDR,89.6
763,aenean,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,IDR,54.7
764,lobortis sapien sapien non,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",PHP,59.67
765,mi integer ac,Etiam faucibus cursus urna.,COP,44.96
766,in sagittis dui,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",PHP,47.58
767,a nibh,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",RSD,42.83
768,rhoncus aliquet pulvinar,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,PLN,1.85
769,ultrices posuere,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,CNY,79.88
770,sit amet erat,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",VND,78.28
771,vel,Aenean fermentum.,TND,75.1
772,libero ut massa volutpat,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,CNY,47.09
773,id luctus nec,Mauris sit amet eros.,UAH,1.85
774,nunc donec quis orci,Aenean sit amet justo.,CNY,8.82
775,non quam nec dui,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,IDR,57.84
776,id lobortis convallis,Integer tincidunt ante vel ipsum.,IDR,99.2
777,risus praesent lectus vestibulum,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",EUR,29.18
778,donec ut dolor,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",EUR,87.65
779,nulla quisque arcu,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",UAH,55.97
780,etiam vel augue vestibulum,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",EUR,71.07
781,rhoncus aliquam lacus,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,EUR,21.44
782,proin,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,UAH,91.78
783,at vulputate vitae nisl,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,USD,32.9
784,tincidunt nulla mollis molestie,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",CNY,55.15
785,a odio,Morbi quis tortor id nulla ultrices aliquet.,CUP,55.7
786,adipiscing,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",AUD,42.74
787,faucibus orci luctus et,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,COP,72.53
788,at,Aenean auctor gravida sem.,NGN,56.07
789,amet,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",MGA,67.58
790,sit amet,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",PLN,66.65
791,at,Morbi vel lectus in quam fringilla rhoncus.,CLP,97.86
792,ipsum primis,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,EUR,84.9
793,parturient,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,RSD,6.49
794,purus,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",IDR,50.04
795,eget rutrum at lorem,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",RUB,8.21
796,sit amet,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",IDR,64.82
797,rhoncus aliquam,Ut tellus.,BRL,99.67
798,mauris vulputate,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",CNY,77.09
799,duis aliquam convallis nunc,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",IDR,61.6
800,accumsan tortor quis turpis,Praesent blandit lacinia erat.,CLP,50.29
801,nisl duis bibendum felis,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",EUR,25.55
802,erat tortor sollicitudin mi,Morbi a ipsum.,EUR,31.58
803,nulla elit,Mauris ullamcorper purus sit amet nulla.,EUR,3.54
804,elit ac nulla,Integer a nibh. In quis justo.,XOF,61.24
805,dui vel,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,CNY,74.48
806,sed interdum,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",CNY,25.75
807,sagittis nam congue,Phasellus id sapien in sapien iaculis congue.,USD,32.72
808,ipsum primis in,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",IDR,92.23
809,ridiculus mus etiam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",HRK,87.97
810,eros,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,BRL,11.71
811,pretium,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",CUP,5.7
812,pede,Etiam pretium iaculis justo.,IDR,77.39
813,augue,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,BOB,6.84
814,sagittis,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,EUR,18.84
815,nulla dapibus dolor,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,MAD,80.86
816,mattis egestas metus aenean,Duis mattis egestas metus.,UGX,24.39
817,id nulla,Integer ac leo. Pellentesque ultrices mattis odio.,EUR,76.93
818,volutpat in congue etiam,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",PEN,12.71
819,ante ipsum primis,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",KGS,59.43
820,rutrum neque aenean,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,BRL,76.96
821,dis parturient montes,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",BRL,32.24
822,odio,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",CNY,98.61
823,duis,Vivamus vel nulla eget eros elementum pellentesque.,RUB,21.94
824,imperdiet,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",BRL,1.93
825,rutrum ac lobortis,Quisque porta volutpat erat.,CNY,18.98
826,eget,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",RSD,27.09
827,condimentum,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,IDR,77.4
828,mi pede malesuada,Sed sagittis.,IDR,67.51
829,dui proin leo,Nulla suscipit ligula in lacus.,PLN,47.92
830,aliquam quis,In sagittis dui vel nisl. Duis ac nibh.,USD,12.5
831,eu massa donec,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",EUR,84.53
832,ultrices,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",RUB,4.85
833,non interdum in ante,Phasellus id sapien in sapien iaculis congue.,EUR,32.98
834,elementum ligula vehicula consequat,In congue. Etiam justo. Etiam pretium iaculis justo.,BRL,83.34
835,ac,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",EUR,14.89
836,ac tellus semper interdum,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,PLN,62.23
837,rutrum nulla nunc purus,In congue.,HKD,45.17
838,montes nascetur ridiculus mus,Suspendisse potenti. Nullam porttitor lacus at turpis.,AFN,53.98
839,dapibus dolor vel,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,CNY,82.03
840,aliquet pulvinar sed,Phasellus in felis. Donec semper sapien a libero. Nam dui.,IDR,21.49
841,tincidunt in leo maecenas,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",EUR,2.24
842,vel,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",MXN,13.13
843,nec euismod scelerisque,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",CNY,70.1
844,nibh,Duis at velit eu est congue elementum.,EUR,31.87
845,eget semper,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",ARS,19.36
846,at,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,CNY,99.47
847,lacinia,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,SEK,93.16
848,libero,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,RUB,48.74
849,dapibus nulla,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,IDR,62.9
850,pede justo eu massa,Mauris ullamcorper purus sit amet nulla.,CNY,84.52
851,eu tincidunt in,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",GMD,10.47
852,mauris,Cras in purus eu magna vulputate luctus.,CNY,22.21
853,a,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",IDR,35.26
854,lorem ipsum dolor sit,Donec dapibus. Duis at velit eu est congue elementum.,CNY,83.37
855,molestie lorem quisque ut,Etiam faucibus cursus urna. Ut tellus.,CNY,44.08
856,quis tortor id nulla,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",IDR,14.54
857,sociis natoque penatibus,Maecenas tincidunt lacus at velit.,PHP,14.08
858,tellus nulla,Proin at turpis a pede posuere nonummy.,UAH,57.49
859,tristique tortor,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,PLN,24.68
860,sed vel,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",UAH,32.34
861,amet,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,LSL,67.33
862,quam,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",BRL,36.99
863,in lacus curabitur at,Etiam vel augue.,CNY,46.36
864,maecenas pulvinar lobortis,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,IDR,26.36
865,curae mauris,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",BRL,8.61
866,a ipsum integer,Mauris sit amet eros.,TZS,62.07
867,ligula suspendisse ornare,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",CNY,82.1
868,enim,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",MAD,19.27
869,eget,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,EUR,16.65
870,id,Phasellus in felis. Donec semper sapien a libero.,XAF,11.12
871,non,Nulla ut erat id mauris vulputate elementum. Nullam varius.,PHP,77.84
872,sagittis sapien cum,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,CNY,19.01
873,pellentesque ultrices,Duis bibendum.,GTQ,43.68
874,est,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",CNY,34.11
875,arcu sed,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,SYP,61.2
876,mauris morbi,Phasellus id sapien in sapien iaculis congue.,BRL,22.04
877,convallis nulla neque,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,IDR,87.54
878,faucibus,Pellentesque at nulla.,EUR,85.69
879,lectus suspendisse,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",HNL,36.2
880,augue,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",PHP,94.61
881,elementum in,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",PLN,60.18
882,facilisi cras non velit,Morbi a ipsum.,TJS,69.2
883,vel ipsum praesent blandit,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",EUR,26.98
884,sem sed sagittis nam,In quis justo.,CNY,39.32
885,ultrices mattis odio donec,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,UGX,43.68
886,semper porta volutpat quam,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,EUR,24.29
887,odio curabitur,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,PEN,79.43
888,mauris sit,Mauris ullamcorper purus sit amet nulla.,EUR,27.33
889,id mauris vulputate elementum,Etiam justo. Etiam pretium iaculis justo.,EUR,88.43
890,ultrices,Aenean sit amet justo. Morbi ut odio.,EGP,54.32
891,cum,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",CNY,31.98
892,integer pede justo lacinia,Proin risus. Praesent lectus.,IDR,36.48
893,enim blandit mi,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",VEF,95.92
894,varius ut blandit non,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,BOB,18.54
895,vestibulum aliquet,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,AZN,98.28
896,magna vulputate luctus,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,RUB,70.21
897,ligula sit amet eleifend,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,IDR,8.68
898,lorem vitae mattis,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,RUB,3.42
899,justo nec condimentum,Duis ac nibh.,CNY,34.09
900,pede,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",PAB,79.12
901,in,Pellentesque viverra pede ac diam.,IDR,25.32
902,dictumst aliquam augue,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,MZN,83.32
903,elit,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,AFN,86.56
904,varius nulla facilisi,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,CAD,43.23
905,augue quam sollicitudin vitae,In sagittis dui vel nisl.,EUR,39.96
906,dictumst,Duis consequat dui nec nisi volutpat eleifend.,EUR,13.16
907,fusce consequat,Phasellus sit amet erat.,CNY,92.32
908,nibh in,Cras in purus eu magna vulputate luctus.,PAB,98.26
909,non,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,BGN,25.92
910,tincidunt nulla,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",KZT,60.9
911,risus,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,EUR,74
912,erat eros,Integer ac leo.,IDR,70.05
913,dolor morbi,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",BRL,44.33
914,turpis,Etiam pretium iaculis justo.,IDR,8.93
915,a,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",CNY,77.68
916,tempus,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",THB,95.31
917,ligula pellentesque ultrices phasellus,Proin at turpis a pede posuere nonummy.,EUR,51.56
918,felis sed lacus morbi,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",IDR,36.26
919,massa quis augue luctus,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",BRL,25.5
920,volutpat dui,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,JMD,30.9
921,elit,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,RSD,3.85
922,convallis nulla neque,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",IDR,3.65
923,libero,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",CNY,36.49
924,aliquam erat volutpat,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",RUB,53.42
925,volutpat eleifend,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",KRW,16.39
926,dictumst morbi,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",CNY,86.79
927,morbi,Nunc nisl.,CNY,80.82
928,tincidunt,Duis ac nibh.,EUR,41.25
929,nunc,Nulla nisl. Nunc nisl.,EUR,10.39
930,nulla nunc purus phasellus,Proin risus.,PAB,83.37
931,nam,Nulla tellus.,CNY,66.48
932,vestibulum eget vulputate ut,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",CNY,73.11
933,dictumst maecenas,Nulla justo.,SEK,25.15
934,sed augue aliquam,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,IDR,74.47
935,tellus,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",CNY,94.1
936,nulla justo aliquam quis,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,ALL,83.68
937,integer aliquet massa,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,USD,43.58
938,rutrum,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,VND,9.07
939,at ipsum,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,BWP,33.62
940,eget massa,Duis mattis egestas metus.,PLN,95.48
941,in felis eu sapien,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,PEN,55.14
942,est phasellus,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,RUB,15.38
943,pede justo lacinia,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",XOF,15.68
944,lobortis,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,CNY,64.45
945,in congue etiam,Integer ac leo. Pellentesque ultrices mattis odio.,EUR,6.1
946,vivamus,Mauris lacinia sapien quis libero.,IDR,71.12
947,in,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",NOK,29.81
948,quis lectus suspendisse,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",IDR,89.38
949,in faucibus orci luctus,In quis justo. Maecenas rhoncus aliquam lacus.,JMD,3.14
950,lacinia,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,CNY,52.76
951,vel,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",CNY,73.9
952,sollicitudin mi sit,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,CNY,27.29
953,est quam,Ut tellus. Nulla ut erat id mauris vulputate elementum.,EUR,37.93
954,consectetuer,Duis aliquam convallis nunc.,MYR,12.21
955,luctus et ultrices,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,IDR,85.47
956,vivamus,In congue. Etiam justo.,SEK,2.2
957,ut mauris,Nullam porttitor lacus at turpis.,NOK,98.88
958,volutpat in congue,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",EUR,18.23
959,consequat,Duis at velit eu est congue elementum.,IDR,81.48
960,in quam,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",USD,80.06
